Countries_and_territories,Place,Start_Date,End_Date,First_case_observed,Num_Cases_Start_Lockdown,Since_Lockdown,CasesofLockdown_UntilLockdown
Albania,,2020-03-13,,3/8/2020,,5,0
Algeria,,2020-03-23,2020-05-14,2/25/2020,,27,0
Argentina,,2020-03-19,2020-05-24,3/3/2020,,16,0
Armenia,,2020-03-24,2020-05-04,2/29/2020,,24,0
Australia,,2020-03-23,,1/24/2020,1709,59,100831
Austria,,2020-03-16,2020-04-13,2/25/2020,,20,0
Azerbaijan,,2020-03-31,2020-04-20,2/28/2020,,32,0
Bangladesh,,2020-03-26,2020-05-16,3/8/2020,,18,0
Barbados,,2020-03-28,2020-05-03,3/17/2020,,11,0
Belgium,,2020-03-18,2020-05-04,2/3/2020,1243,44,54692
Bermuda,,2020-04-04,2020-05-02,3/19/2020,,16,0
Bolivia,,2020-03-22,2020-04-15,3/11/2020,,11,0
Botswana,,2020-04-02,2020-04-30,3/31/2020,,2,0
Brazil,,2020-03-17,2020-04-07,2/25/2020,234,21,4914
Chile,,2020-03-19,,3/3/2020,,16,0
Colombia,,2020-03-25,2020-05-11,3/6/2020,,19,0
Republic of the Congo,,2020-03-31,2020-04-20,3/15/2020,,16,0
Costa Rica,,2020-03-23,,3/6/2020,,17,0
Croatia,,2020-03-18,2020-04-19,2/25/2020,,22,0
Cuba,,2020-03-23,2020-04-20,3/11/2020,,12,0
Czech Republic,,2020-03-16,2020-04-12,3/1/2020,,15,0
Denmark,,2020-03-11,2020-04-13,2/26/2020,264,14,3696
Dominican Republic,,2020-03-19,2020-05-11,3/1/2020,,18,0
Ecuador,,2020-03-16,2020-03-31,2/29/2020,,16,0
El Salvador,,2020-03-12,2020-04-02,3/18/2020,,-6,0
Eritrea,,2020-04-02,2020-04-23,3/21/2020,,12,0
Fiji,,2020-03-20,2020-04-07,3/19/2020,,1,0
Finland,,2020-03-27,2020-04-16,1/29/2020,,58,0
France,,2020-03-17,2020-05-11,1/24/2020,6633,53,351549
Georgia,,2020-03-31,2020-04-21,2/26/2020,,34,0
Germany,,2020-03-23,2020-05-10,1/27/2020,24774,56,1387344
Ghana,,2020-03-30,2020-04-12,3/12/2020,,18,0
Greece,,2020-03-23,2020-05-04,2/26/2020,624,26,16224
Guernsey,,2020-03-25,,3/19/2020,,6,0
Honduras,,2020-03-20,2020-05-17,3/11/2020,,9,0
Hungary,,2020-03-28,2020-04-10,3/4/2020,343,24,8232
Iceland,,3/19/2020,2020-04-30,2/29/2020,250,19,4750
India,,2020-03-25,2020-05-18,1/29/2020,,56,0
Iran,,2020-03-14,2020-04-20,2/19/2020,,24,0
Iraq,,2020-03-22,2020-04-11,2/24/2020,,27,0
Ireland,,2020-03-12,2020-05-18,2/29/2020,,12,0
Israel,,2020-04-02,,2/21/2020,,41,0
Italy,,2020-03-09,2020-05-18,1/30/2020,7375,39,287625
Jamaica,,2020-04-15,2020-04-22,3/11/2020,,35,0
Jordan,,2020-03-18,2020-04-30,3/2/2020,,16,0
Kosovo,,2020-03-14,2020-05-04,3/15/2020,,-1,0
Kuwait,,2020-03-14,2020-03-29,2/23/2020,,20,0
Lebanon,,2020-03-15,2020-03-28,2/21/2020,,23,0
Liberia,,2020-03-23,2020-04-11,3/16/2020,,7,0
Libya,,2020-03-22,,3/24/2020,,-2,0
Lithuania,,2020-03-16,2020-04-27,2/27/2020,,18,0
Luxembourg,,2020-03-18,2020-04-20,2/29/2020,,18,0
Madagascar,,2020-03-23,2020-04-20,3/20/2020,,3,0
Malaysia,,2020-03-18,2020-06-09,1/24/2020,,54,0
Mongolia,,2020-03-10,2020-03-16,3/9/2020,,1,0
Montenegro,,2020-03-24,,3/17/2020,,7,0
Morocco,,2020-03-19,2020-04-20,3/2/2020,,17,0
Namibia,,2020-03-27,2020-05-04,3/14/2020,,13,0
Nepal,,2020-03-24,2020-04-15,1/24/2020,,60,0
Netherlands,,2020-03-16,2020-05-13,2/27/2020,1135,18,20430
New Zealand,,2020-03-26,2020-05-14,2/27/2020,,28,0
Nigeria,,2020-03-30,2020-04-12,2/27/2020,,32,0
Northern Cyprus,,2020-03-30,,3/9/2020,,21,0
Norway,,2020-03-12,2020-04-13,2/26/2020,,15,0
Oman,Muscat,2020-04-10,2020-05-29,2/24/2020,,46,0
Pakistan,,2020-03-24,2020-05-09,2/26/2020,,27,0
Panama,,2020-03-25,,3/9/2020,,16,0
Papua New Guinea,,2020-03-24,2020-04-07,3/20/2020,,4,0
Paraguay,,2020-03-20,2020-04-12,3/7/2020,,13,0
Peru,,2020-03-16,2020-05-24,3/6/2020,,10,0
Philippines,,3/15/2020,2020-05-15,1/29/2020,,46,0
Poland,,2020-03-13,2020-04-11,3/3/2020,,10,0
Portugal,,2020-03-19,2020-04-02,3/2/2020,642,17,10914
Qatar,,2020-03-11,,2/29/2020,,11,0
Romania,,2020-03-25,2020-05-12,2/26/2020,,28,0
Russia,,2020-03-30,2020-05-12,1/31/2020,,59,0
Rwanda,,2020-03-21,2020-04-19,3/14/2020,,7,0
Samoa,,2020-03-26,2020-04-08,,,43916,0
San Marino,,2020-03-14,2020-05-05,2/27/2020,,16,0
Saudi Arabia,,3/9/2020,,3/2/2020,900,7,6300
Serbia,,2020-03-15,2020-04-21,3/6/2020,,9,0
Singapore,,2020-04-07,2020-06-01,1/23/2020,,75,0
Slovakia,,2020-03-16,2020-04-22,3/6/2020,,10,0
South Africa,,2020-03-26,2020-04-30,3/5/2020,,21,0
Spain,,2020-03-14,2020-05-09,1/31/2020,7641,43,328563
Switzerland,,2020-03-17,2020-04-27,2/25/2020,2200,21,46200
Thailand,,2020-03-25,2020-05-31,1/12/2020,,73,0
Trinidad and Tobago,,2020-03-17,2020-03-31,3/12/2020,,5,0
Tunisia,,2020-03-22,2020-04-19,3/2/2020,,20,0
Turkey,,2020-04-23,2020-04-27,3/11/2020,,43,0
